2021-07-04T18:53:39.990Z GET, "/", status=302, response-time=9.977 ms
2021-07-04T18:53:40.030Z GET, "/comfort", status=200, response-time=24.895 ms
2021-07-04T18:53:40.617Z GET, "/db_gauge_weather", status=200, response-time=19.339 ms
2021-07-04T18:53:40.617Z GET, "/db_gauge_noise", status=200, response-time=10.193 ms
2021-07-04T18:53:40.618Z GET, "/db_gauge_gas", status=200, response-time=7.446 ms
2021-07-04T18:53:40.622Z GET, "/db_gauge_light", status=200, response-time=9.101 ms
2021-07-04T18:53:42.220Z GET, "/about", status=304, response-time=6.649 ms
2021-07-04T18:53:42.993Z GET, "/comfort", status=304, response-time=7.967 ms
2021-07-04T18:53:43.243Z GET, "/db_gauge_weather", status=304, response-time=1.958 ms
2021-07-04T18:53:43.245Z GET, "/db_gauge_noise", status=304, response-time=1.723 ms
2021-07-04T18:53:43.255Z GET, "/db_gauge_gas", status=304, response-time=1.955 ms
2021-07-04T18:53:43.262Z GET, "/db_gauge_light", status=304, response-time=2.058 ms
2021-07-04T18:53:47.550Z GET, "/temperature", status=304, response-time=5.425 ms
2021-07-04T18:53:47.842Z GET, "/db_temperature?period=Day", status=304, response-time=5.149 ms
2021-07-04T18:53:48.727Z GET, "/humidity", status=200, response-time=8.394 ms
2021-07-04T18:53:48.914Z GET, "/db_humidity?period=Day", status=200, response-time=2.131 ms
2021-07-04T18:53:49.409Z GET, "/temperature", status=304, response-time=5.470 ms
2021-07-04T18:53:49.645Z GET, "/db_temperature?period=Day", status=304, response-time=1.551 ms
2021-07-04T18:53:50.575Z GET, "/db_temperature?period=Year", status=200, response-time=2.152 ms
2021-07-04T18:53:51.823Z GET, "/db_temperature?period=Month", status=200, response-time=1.083 ms
2021-07-04T18:53:52.539Z GET, "/db_temperature?period=Day", status=304, response-time=0.905 ms
2021-07-04T18:53:53.855Z GET, "/db_temperature?period=Month", status=304, response-time=0.802 ms
2021-07-04T18:53:55.135Z GET, "/db_temperature?period=Year", status=304, response-time=1.014 ms
2021-07-04T18:53:59.912Z GET, "/db_temperature?period=All", status=200, response-time=1.539 ms
2021-07-04T18:54:02.824Z GET, "/about", status=304, response-time=3.547 ms
2021-07-04T18:54:04.290Z GET, "/comfort", status=304, response-time=2.906 ms
2021-07-04T18:54:04.576Z GET, "/db_gauge_weather", status=304, response-time=1.730 ms
2021-07-04T18:54:04.580Z GET, "/db_gauge_noise", status=304, response-time=1.349 ms
2021-07-04T18:54:04.598Z GET, "/db_gauge_gas", status=304, response-time=3.536 ms
2021-07-04T18:54:04.599Z GET, "/db_gauge_light", status=304, response-time=2.610 ms
2021-07-04T18:54:13.261Z GET, "/comfort", status=304, response-time=1.759 ms
2021-07-04T18:54:13.501Z GET, "/db_gauge_weather", status=304, response-time=5.788 ms
2021-07-04T18:54:13.506Z GET, "/db_gauge_noise", status=304, response-time=1.586 ms
2021-07-04T18:54:13.523Z GET, "/db_gauge_gas", status=304, response-time=1.732 ms
2021-07-04T18:54:13.528Z GET, "/db_gauge_light", status=304, response-time=1.670 ms
2021-07-04T18:54:17.640Z GET, "/comfort", status=304, response-time=4.587 ms
2021-07-04T18:54:17.874Z GET, "/db_gauge_weather", status=304, response-time=1.721 ms
2021-07-04T18:54:17.878Z GET, "/db_gauge_noise", status=304, response-time=1.315 ms
2021-07-04T18:54:17.891Z GET, "/db_gauge_gas", status=304, response-time=1.690 ms
2021-07-04T18:54:17.898Z GET, "/db_gauge_light", status=304, response-time=2.183 ms
2021-07-04T18:54:19.853Z GET, "/comfort", status=304, response-time=2.786 ms
2021-07-04T18:54:20.063Z GET, "/db_gauge_weather", status=304, response-time=1.472 ms
2021-07-04T18:54:20.068Z GET, "/db_gauge_noise", status=304, response-time=1.744 ms
2021-07-04T18:54:20.081Z GET, "/db_gauge_gas", status=304, response-time=1.834 ms
2021-07-04T18:54:20.084Z GET, "/db_gauge_light", status=304, response-time=1.651 ms
2021-07-04T18:54:23.095Z GET, "/comfort", status=304, response-time=3.044 ms
2021-07-04T18:54:23.298Z GET, "/db_gauge_weather", status=304, response-time=1.501 ms
2021-07-04T18:54:23.302Z GET, "/db_gauge_noise", status=304, response-time=1.660 ms
2021-07-04T18:54:23.321Z GET, "/db_gauge_gas", status=304, response-time=4.101 ms
2021-07-04T18:54:23.322Z GET, "/db_gauge_light", status=304, response-time=4.130 ms
2021-07-04T18:54:28.738Z GET, "/comfort", status=304, response-time=5.254 ms
